suite,scene,method,budget,tri_ratio,psnr,lpips,dpsnr_b0,dpsnr_b0_lo,dpsnr_b0_hi,dlpips_b0,dpsnr_b0p,dpsnr_b0p_lo,dpsnr_b0p_hi,dlpips_b0p,fps_ratio
S-REND,treehill,B4,B50,0.5000,20.6005,0.4217,-0.0516,-0.0842,-0.0206,0.00069,-0.0861,-0.1176,-0.0568,0.00399,1.354
S-REND,room,B4,B50,0.5000,28.3743,0.2682,-0.1012,-0.1932,-0.0282,0.00005,-0.2265,-0.3158,-0.1538,0.00757,1.231
S-REND,counter,B4,B50,0.5000,26.3427,0.2778,-0.0675,-0.1297,-0.0154,0.00018,-0.2396,-0.3018,-0.1851,0.01269,1.301
S-REND,kitchen,B4,B50,0.5000,27.2664,0.2264,-0.0293,-0.0592,-0.0040,0.00017,-0.3433,-0.3948,-0.2898,0.01549,1.259
S-REND,bonsai,B4,B50,0.5000,28.3221,0.2903,-0.0567,-0.1184,-0.0121,0.00013,-0.3215,-0.3921,-0.2556,0.00677,1.250
S-REND,garden,B2,B50,0.5000,21.3776,0.3655,-3.3344,-3.6671,-3.0007,0.14928,-3.4030,-3.7486,-3.0584,0.15224,1.375
S-REND,garden,B5-iter,B50,0.5000,24.8689,0.2092,0.1569,0.1095,0.1995,-0.00709,0.0882,0.0501,0.1221,-0.00414,1.291
S-REND,bicycle,B5,B25,0.2500,23.0874,0.3475,0.0664,0.0382,0.0911,0.00029,-0.0739,-0.1134,-0.0396,0.00270,1.645
S-REND,flowers,B5,B25,0.2500,19.0502,0.4152,-0.3399,-0.5608,-0.1424,0.00677,-0.4178,-0.6212,-0.2340,0.00779,1.659
S-REND,garden,B5,B25,0.2500,24.7386,0.2148,0.0266,-0.0536,0.0985,-0.00143,-0.0420,-0.1112,0.0199,0.00152,1.681
S-REND,stump,B5,B25,0.2500,24.8171,0.3123,-0.0490,-0.0978,-0.0022,0.00281,-0.1366,-0.2023,-0.0753,0.00533,1.654
S-REND,treehill,B5,B25,0.2500,20.4381,0.4273,-0.2139,-0.3425,-0.0816,0.00629,-0.2484,-0.3760,-0.1194,0.00960,1.709
